rating	date	variation	verified_reviews	feedback
5	31-Jul-18	Charcoal Fabric	Love my Echo!	1
5	31-Jul-18	Charcoal Fabric	Loved it!	1
4	31-Jul-18	Walnut Finish	Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.	1
5	31-Jul-18	Charcoal Fabric	I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.	1
5	31-Jul-18	Charcoal Fabric	Music	1
5	31-Jul-18	Heather Gray Fabric	I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.	1
3	31-Jul-18	Sandstone Fabric	Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.	1
5	31-Jul-18	Charcoal Fabric	I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.	1
5	30-Jul-18	Heather Gray Fabric	looks great	1
5	30-Jul-18	Heather Gray Fabric	Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!	1
5	30-Jul-18	Charcoal Fabric	I sent it to my 85 year old Dad, and he talks to it constantly.	1
5	30-Jul-18	Charcoal Fabric	I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times	1
5	30-Jul-18	Oak Finish	I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!	1
5	30-Jul-18	Charcoal Fabric	Love, Love, Love!!	1
5	30-Jul-18	Oak Finish	Just what I expected....	1
5	30-Jul-18	Heather Gray Fabric	I love it, wife hates it.	1
5	30-Jul-18	Heather Gray Fabric	Really happy with this purchase.  Great speaker and easy to set up.	1
5	30-Jul-18	Heather Gray Fabric	We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.	1
5	30-Jul-18	Charcoal Fabric	We love the size of the 2nd generation echo. Still needs a little improvement on sound	1
4	30-Jul-18	Sandstone Fabric	I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)	1
